tissue,train,val,test
aorta,598,52,57
autochthon_left,616,53,57
autochthon_right,616,53,57
colon,477,46,44
duodenum,404,36,36
esophagus,571,49,49
gallbladder,336,30,30
heart,500,44,44
inferior_vena_cava,523,47,49
kidney_left,425,37,39
kidney_right,413,37,36
liver,504,46,45
lung_lower_lobe_left,543,48,48
lung_lower_lobe_right,534,47,47
lung_upper_lobe_left,563,48,49
lung_upper_lobe_right,480,44,44
pancreas,427,38,38
portal_vein_and_splenic_vein,440,41,38
small_bowel,429,38,38
spleen,478,42,43
stomach,485,44,43
superior_vena_cava,426,42,39
urinary_bladder,298,26,26
vertebrae_L1,424,38,37
vertebrae_L2,374,33,33
vertebrae_L3,333,29,29
vertebrae_L4,331,29,29
vertebrae_L5,320,28,28
vertebrae_T12,465,43,41
