subject,n_tissues,n_views
s0000,3,20
s0001,23,20
s0002,5,20
s0003,5,20
s0004,29,20
s0006,21,20
s0009,23,20
s0010,27,20
s0011,29,20
s0012,27,20
s0013,26,20
s0014,27,20
s0015,29,20
s0016,26,20
s0019,29,20
s0021,10,20
s0022,24,20
s0024,29,20
s0025,5,20
s0028,29,20
s0029,29,20
s0030,27,20
s0031,27,20
s0032,18,20
s0034,20,20
s0035,10,20
s0036,8,20
s0037,20,20
s0038,27,20
s0039,21,20
s0040,29,20
s0042,27,20
s0043,5,20
s0044,6,20
s0045,27,20
s0046,24,20
s0048,24,20
s0049,28,20
s0050,29,20
s0052,27,20
s0053,27,20
s0054,27,20
s0056,5,20
s0057,27,20
s0058,29,20
s0059,29,20
s0061,9,20
s0062,14,20
s0063,8,20
s0065,29,20
s0066,24,20
s0067,12,20
s0068,23,20
s0069,25,20
s0070,27,20
s0071,27,20
s0072,26,20
s0073,26,20
s0074,10,20
s0075,27,20
s0076,29,20
s0077,26,20
s0078,27,20
s0079,10,20
s0080,25,20
s0081,5,20
s0082,27,20
s0083,14,20
s0084,13,20
s0085,12,20
s0086,29,20
s0088,23,20
s0089,27,20
s0090,27,20
s0091,29,20
s0092,23,20
s0095,29,20
s0096,29,20
s0098,24,20
s0099,2,20
s0100,5,20
s0102,26,20
s0104,11,20
s0105,21,20
s0106,28,20
s0107,28,20
s0108,27,20
s0109,27,20
s0110,9,20
s0111,24,20
s0112,9,20
s0114,23,20
s0115,27,20
s0117,26,20
s0119,29,20
s0120,28,20
s0122,2,20
s0123,24,20
s0124,29,20
s0128,15,20
s0129,16,20
s0130,6,20
s0131,24,20
s0132,16,20
s0133,27,20
s0135,26,20
s0136,5,20
s0137,26,20
s0138,25,20
s0139,27,20
s0140,5,20
s0141,29,20
s0143,26,20
s0145,29,20
s0146,17,20
s0147,27,20
s0149,5,20
s0150,27,20
s0151,24,20
s0152,6,20
s0153,27,20
s0154,8,20
s0156,21,20
s0157,27,20
s0158,27,20
s0160,21,20
s0161,27,20
s0162,17,20
s0163,28,20
s0165,21,20
s0166,29,20
s0167,9,20
s0168,27,20
s0169,8,20
s0170,9,20
s0171,28,20
s0172,8,20
s0174,27,20
s0175,14,20
s0178,27,20
s0179,23,20
s0181,8,20
s0182,27,20
s0183,27,20
s0184,18,20
s0185,9,20
s0188,19,20
s0189,29,20
s0190,27,20
s0191,27,20
s0192,27,20
s0193,27,20
s0194,27,20
s0196,29,20
s0197,24,20
s0199,18,20
s0201,27,20
s0204,27,20
s0206,27,20
s0208,5,20
s0209,24,20
s0210,29,20
s0211,23,20
s0212,28,20
s0213,26,20
s0215,18,20
s0216,14,20
s0217,3,20
s0218,27,20
s0219,11,20
s0220,24,7
s0224,29,20
s0240,25,20
s0285,21,20
s0287,28,20
s0303,24,20
s0315,28,20
s0350,28,20
s0354,22,20
s0365,24,20
s0370,29,20
s0375,29,20
s0377,16,20
s0379,7,20
s0380,20,20
s0381,9,20
s0382,12,20
s0383,29,20
s0385,9,20
s0386,18,20
s0389,15,20
s0390,27,20
s0391,15,20
s0392,27,20
s0393,24,20
s0394,27,20
s0395,8,20
s0396,5,20
s0398,23,20
s0399,12,20
s0400,10,20
s0401,26,20
s0402,28,20
s0403,29,20
s0405,18,20
s0406,29,20
s0407,23,20
s0408,29,20
s0411,10,20
s0412,26,20
s0413,20,20
s0414,18,20
s0416,27,20
s0418,3,20
s0419,7,20
s0420,22,20
s0421,15,20
s0422,26,20
s0423,29,20
s0424,16,20
s0425,21,20
s0426,9,20
s0428,27,20
s0429,29,20
s0430,25,20
s0431,26,20
s0433,23,20
s0435,9,20
s0436,29,20
s0437,19,20
s0438,22,20
s0439,25,20
s0440,29,20
s0441,27,20
s0442,10,20
s0443,3,20
s0444,18,20
s0445,24,20
s0446,28,20
s0447,29,20
s0450,25,20
s0452,24,20
s0453,5,20
s0454,9,20
s0455,23,20
s0456,29,20
s0457,16,20
s0458,29,20
s0459,22,20
s0461,29,20
s0462,29,20
s0463,24,20
s0465,16,20
s0466,7,20
s0467,29,20
s0468,27,20
s0469,25,20
s0470,24,20
s0471,26,20
s0472,29,20
s0473,27,20
s0475,10,20
s0476,29,20
s0477,29,20
s0478,9,20
s0480,27,20
s0481,15,20
s0482,23,20
s0483,29,20
s0484,29,20
s0485,25,20
s0486,24,20
s0487,20,20
s0488,25,20
s0490,24,20
s0491,10,20
s0492,7,20
s0493,5,20
s0494,28,20
s0495,29,20
s0497,9,20
s0498,25,20
s0499,29,20
s0500,27,20
s0501,8,20
s0502,29,20
s0503,10,20
s0504,10,20
s0505,28,20
s0506,8,20
s0507,29,20
s0508,24,20
s0509,28,20
s0510,23,20
s0511,28,20
s0513,27,20
s0515,22,20
s0516,29,20
s0517,22,20
s0518,10,20
s0519,29,20
s0520,16,20
s0521,7,20
s0522,24,20
s0523,26,20
s0525,10,20
s0526,10,20
s0527,10,20
s0528,15,20
s0529,27,20
s0530,16,20
s0531,25,20
s0532,14,20
s0535,10,20
s0536,29,20
s0537,10,20
s0541,27,20
s0542,27,20
s0543,29,20
s0544,22,20
s0545,27,20
s0546,29,20
s0548,27,20
s0549,29,20
s0550,29,20
s0551,29,20
s0552,9,20
s0553,29,20
s0555,25,20
s0556,28,20
s0557,21,20
s0559,6,20
s0560,26,20
s0561,29,20
s0563,6,20
s0564,9,20
s0565,24,20
s0566,27,20
s0568,3,20
s0571,29,20
s0572,5,20
s0573,14,20
s0574,29,20
s0576,9,20
s0577,26,20
s0578,29,20
s0579,27,20
s0580,22,20
s0581,17,20
s0582,20,20
s0583,28,20
s0584,20,20
s0585,29,20
s0586,27,20
s0587,28,20
s0589,29,20
s0590,25,20
s0591,29,20
s0592,29,20
s0593,29,20
s0594,15,20
s0595,13,20
s0597,10,20
s0598,23,14
s0607,28,20
s0610,10,20
s0616,29,20
s0624,29,20
s0632,23,20
s0641,26,20
s0648,29,20
s0650,29,20
s0651,26,20
s0691,16,20
s0692,29,20
s0708,29,20
s0709,28,20
s0714,21,20
s0737,28,20
s0738,14,20
s0739,29,20
s0740,26,20
s0741,7,20
s0743,24,20
s0746,27,20
s0747,25,20
s0749,27,20
s0750,23,20
s0751,29,20
s0752,25,20
s0753,22,20
s0754,29,20
s0756,9,20
s0759,21,20
s0760,27,20
s0762,28,20
s0763,29,20
s0764,29,20
s0765,29,20
s0767,15,20
s0768,27,20
s0769,10,20
s0770,23,20
s0771,24,20
s0772,9,20
s0773,18,20
s0774,14,20
s0775,21,20
s0776,10,20
s0777,29,20
s0778,29,20
s0780,20,20
s0781,14,20
s0782,13,20
s0783,2,20
s0784,25,20
s0785,25,20
s0787,16,20
s0788,28,20
s0789,25,20
s0790,29,20
s0791,17,20
s0793,19,20
s0794,29,20
s0795,23,20
s0796,29,20
s0797,29,20
s0798,23,20
s0800,10,20
s0801,29,20
s0802,16,20
s0804,29,20
s0805,21,20
s0806,29,20
s0807,28,20
s0808,21,20
s0809,9,20
s0810,22,20
s0811,24,20
s0812,29,20
s0813,15,20
s0814,10,20
s0815,8,20
s0816,24,20
s0818,8,20
s0819,9,20
s0820,9,20
s0821,25,20
s0822,25,20
s0824,17,20
s0825,15,20
s0826,15,20
s0829,19,20
s0830,29,20
s0831,23,20
s0832,18,20
s0833,21,20
s0834,21,20
s0835,29,20
s0836,29,20
s0838,11,20
s0839,13,20
s0840,15,20
s0842,29,20
s0843,1,20
s0844,21,20
s0845,26,20
s0846,11,20
s0847,22,20
s0848,13,20
s0849,10,20
s0850,3,20
s0851,6,20
s0852,12,20
s0853,10,20
s0857,9,20
s0858,14,20
s0859,29,20
s0860,29,20
s0861,6,20
s0862,10,20
s0863,29,20
s0864,29,20
s0865,10,20
s0866,24,20
s0867,7,20
s0868,8,20
s0869,29,20
s0870,3,20
s0871,21,20
s0873,9,20
s0874,9,20
s0875,5,20
s0876,13,20
s0877,14,20
s0878,29,20
s0879,13,20
s0880,29,20
s0881,14,20
s0883,10,20
s0884,29,20
s0885,28,20
s0889,24,20
s0890,23,20
s0891,18,20
s0892,27,20
s0894,29,20
s0895,24,20
s0896,29,20
s0897,24,20
s0898,24,20
s0899,28,20
s0901,14,20
s0903,29,20
s0904,29,20
s0907,13,20
s0908,22,20
s0909,8,20
s0910,21,20
s0911,16,20
s0912,29,20
s0913,29,20
s0914,23,20
s0915,29,20
s0916,29,20
s0918,29,20
s0919,29,20
s0921,3,20
s0923,29,20
s0924,29,20
s0925,8,20
s0927,28,20
s0928,29,20
s0930,25,20
s0931,28,20
s0933,29,20
s0934,28,20
s0935,15,20
s0936,13,20
s0937,27,20
s0938,6,20
s0939,29,20
s0940,29,20
s0941,24,20
s0943,5,20
s0944,10,20
s0945,29,20
s0946,25,20
s0947,8,20
s0949,9,20
s0950,29,20
s0951,11,20
s0952,26,20
s0953,6,20
s0954,24,20
s0955,5,20
s0956,15,20
s0957,29,20
s0958,17,20
s0959,29,20
s0960,9,20
s0961,29,20
s0962,7,20
s0963,29,20
s0965,27,9
s0970,28,20
s0994,29,20
s1114,9,20
s1115,9,20
s1119,24,20
s1120,29,20
s1121,25,20
s1122,18,20
s1123,28,20
s1124,29,20
s1125,11,20
s1127,28,20
s1128,9,20
s1129,8,20
s1130,27,20
s1131,27,20
s1132,25,20
s1133,22,20
s1134,17,20
s1135,29,20
s1136,12,20
s1137,14,20
s1138,10,20
s1140,25,20
s1141,9,20
s1142,26,20
s1143,29,20
s1144,25,20
s1145,29,20
s1146,22,20
s1147,9,20
s1149,28,20
s1151,15,20
s1152,28,20
s1153,26,20
s1154,9,20
s1155,24,20
s1156,4,20
s1157,24,20
s1158,21,20
s1159,29,20
s1161,29,20
s1162,24,20
s1163,8,20
s1164,25,20
s1165,28,20
s1167,24,20
s1168,5,20
s1169,7,20
s1170,3,20
s1171,28,20
s1172,19,20
s1173,25,20
s1174,29,20
s1175,16,20
s1176,27,20
s1178,25,20
s1179,18,20
s1182,14,20
s1183,28,20
s1184,10,20
s1185,6,20
s1187,29,20
s1189,28,20
s1190,22,20
s1191,18,20
s1192,9,20
s1195,9,20
s1196,23,20
s1197,16,20
s1199,25,20
s1201,22,20
s1203,15,20
s1205,20,20
s1206,29,20
s1207,29,20
s1208,29,20
s1209,29,20
s1210,29,20
s1212,27,20
s1216,26,20
s1218,5,20
s1220,6,20
s1221,23,20
s1222,7,20
s1223,28,20
s1224,29,20
s1225,18,20
s1226,16,20
s1228,28,20
s1230,29,20
s1231,9,20
s1233,29,20
s1234,9,20
s1235,28,20
s1236,22,20
s1237,13,20
s1238,29,20
s1239,12,20
s1240,28,20
s1241,26,20
s1242,10,20
s1243,16,20
s1244,28,20
s1245,23,20
s1246,7,20
s1247,29,20
s1248,28,20
s1249,29,20
s1250,14,20
s1251,18,20
s1252,22,20
s1254,13,20
s1255,25,20
s1256,15,20
s1257,27,20
s1258,13,20
s1259,14,20
s1261,10,20
s1262,28,20
s1264,28,20
s1267,28,20
s1268,10,20
s1269,23,20
s1270,23,20
s1271,21,20
s1272,24,20
s1273,29,20
s1274,10,20
s1275,5,20
s1276,29,20
s1277,14,20
s1278,25,20
s1279,5,20
s1280,17,20
s1281,23,20
s1283,29,20
s1285,28,20
s1286,15,20
s1287,29,20
s1288,26,20
s1289,27,20
s1290,4,20
s1291,27,20
s1292,25,20
s1293,26,20
s1294,27,20
s1295,8,20
s1296,26,20
s1297,29,20
s1298,24,20
s1299,9,20
s1301,13,20
s1303,3,20
s1304,29,20
s1305,28,20
s1307,29,20
s1308,19,20
s1309,26,20
s1310,28,20
s1311,19,20
s1312,20,20
s1314,29,20
s1315,12,20
s1316,5,20
s1317,13,20
s1318,10,20
s1319,29,20
s1321,29,20
s1322,27,20
s1323,19,20
s1326,29,20
s1327,18,20
s1329,27,20
s1330,25,20
s1331,27,20
s1332,28,20
s1333,12,20
s1334,29,20
s1335,5,20
s1336,29,20
s1337,25,20
s1338,26,20
s1339,26,20
s1340,29,20
s1341,3,20
s1342,8,20
s1343,23,20
s1344,28,5
