tissue,n_subjects_present,pct_subjects
aorta,707,93.77
autochthon_left,726,96.29
autochthon_right,726,96.29
colon,567,75.2
duodenum,476,63.13
esophagus,669,88.73
gallbladder,396,52.52
heart,588,77.98
inferior_vena_cava,619,82.1
kidney_left,501,66.45
kidney_right,486,64.46
liver,595,78.91
lung_lower_lobe_left,639,84.75
lung_lower_lobe_right,628,83.29
lung_upper_lobe_left,660,87.53
lung_upper_lobe_right,568,75.33
pancreas,503,66.71
portal_vein_and_splenic_vein,519,68.83
small_bowel,505,66.98
spleen,563,74.67
stomach,572,75.86
superior_vena_cava,507,67.24
urinary_bladder,350,46.42
vertebrae_L1,499,66.18
vertebrae_L2,440,58.36
vertebrae_L3,391,51.86
vertebrae_L4,389,51.59
vertebrae_L5,376,49.87
vertebrae_T12,549,72.81
