subject,n_tissues,tissues,fg_frac,flag
s0843,1,esophagus,,ok
s0099,2,autochthon_left|autochthon_right,,ok
s0122,2,colon|urinary_bladder,,ok
s0783,2,colon|urinary_bladder,,ok
s0000,3,colon|small_bowel|urinary_bladder,,ok
s0217,3,autochthon_left|autochthon_right|esophagus,,ok
s0418,3,colon|small_bowel|urinary_bladder,,ok
s0443,3,colon|small_bowel|urinary_bladder,,ok
s0568,3,autochthon_left|autochthon_right|esophagus,,ok
s0850,3,colon|small_bowel|urinary_bladder,,ok
s0870,3,autochthon_left|autochthon_right|esophagus,,ok
s0921,3,colon|small_bowel|urinary_bladder,,ok
s1170,3,colon|small_bowel|urinary_bladder,,ok
s1303,3,colon|small_bowel|urinary_bladder,,ok
s1341,3,autochthon_left|autochthon_right|esophagus,,ok
s1156,4,autochthon_left|autochthon_right|colon|urinary_bladder,,ok
s1290,4,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left,,ok
s0002,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0003,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0025,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0043,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0056,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0081,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0100,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0136,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0140,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0149,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0208,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0396,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0453,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0493,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0572,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0875,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s0943,5,autochthon_left|colon|heart|small_bowel|urinary_bladder,,ok
s0955,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s1168,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s1218,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s1275,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s1279,5,autochthon_left|autochthon_right|colon|small_bowel|urinary_bladder,,ok
s1316,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
s1335,5,autochthon_left|autochthon_right|esophagus|lung_upper_lobe_left|lung_upper_lobe_right,,ok
