tissue,train,val,test
aorta,925,88,88
autochthon_left,943,87,94
autochthon_right,943,88,95
colon,749,78,76
duodenum,634,58,62
esophagus,862,80,89
gallbladder,522,48,53
heart,765,73,78
inferior_vena_cava,812,80,80
kidney_left,660,66,66
kidney_right,643,61,64
liver,780,76,78
lung_lower_lobe_left,838,76,84
lung_lower_lobe_right,823,75,83
lung_upper_lobe_left,852,80,89
lung_upper_lobe_right,716,68,71
pancreas,659,66,68
portal_vein_and_splenic_vein,676,69,68
small_bowel,668,66,69
spleen,735,71,75
stomach,750,72,77
superior_vena_cava,648,57,57
urinary_bladder,476,44,48
vertebrae_L1,656,64,67
vertebrae_L2,587,55,63
vertebrae_L3,532,48,52
vertebrae_L4,526,49,55
vertebrae_L5,513,45,54
vertebrae_T12,723,71,70
