tissue,train,val,test
aorta,936,82,83
autochthon_left,954,86,84
autochthon_right,957,85,84
colon,766,69,68
duodenum,641,56,57
esophagus,876,77,78
gallbladder,529,47,47
heart,778,69,69
inferior_vena_cava,825,74,73
kidney_left,673,59,60
kidney_right,653,57,58
liver,792,70,72
lung_lower_lobe_left,848,75,75
lung_lower_lobe_right,834,73,74
lung_upper_lobe_left,870,75,76
lung_upper_lobe_right,724,65,66
pancreas,674,59,60
portal_vein_and_splenic_vein,691,61,61
small_bowel,681,60,62
spleen,749,66,66
stomach,764,67,68
superior_vena_cava,646,56,60
urinary_bladder,483,43,42
vertebrae_L1,669,59,59
vertebrae_L2,599,53,53
vertebrae_L3,537,47,48
vertebrae_L4,536,47,47
vertebrae_L5,520,46,46
vertebrae_T12,734,65,65
