subject,n_tissues,n_views
s0000,3,20
s0001,23,20
s0002,5,20
s0003,5,20
s0004,29,20
s0006,21,20
s0009,23,20
s0010,27,20
s0011,29,20
s0012,27,20
s0013,26,20
s0014,27,20
s0015,29,20
s0016,26,20
s0019,29,20
s0021,10,20
s0022,24,20
s0024,29,20
s0025,5,20
s0028,29,20
s0029,29,20
s0030,27,20
s0031,27,20
s0032,18,20
s0034,20,20
s0035,10,20
s0036,8,20
s0037,20,20
s0038,27,20
s0039,21,20
s0040,29,20
s0042,27,20
s0043,5,20
s0044,6,20
s0045,27,20
s0046,24,20
s0048,24,20
s0049,28,20
s0050,29,20
s0052,27,20
s0053,27,20
s0054,27,20
s0056,5,20
s0057,27,20
s0058,29,20
s0059,29,20
s0061,9,20
s0062,14,20
s0063,8,20
s0065,29,20
s0066,24,20
s0067,12,20
s0068,23,20
s0069,25,20
s0070,27,20
s0071,27,20
s0072,26,20
s0073,26,20
s0074,10,20
s0075,27,20
s0076,29,20
s0077,26,20
s0078,27,20
s0079,10,20
s0080,25,20
s0081,5,20
s0082,27,20
s0083,14,20
s0084,13,20
s0085,12,20
s0086,29,20
s0088,23,20
s0089,27,20
s0090,27,20
s0091,29,20
s0092,23,20
s0095,29,20
s0096,29,20
s0098,24,20
s0099,2,20
s0100,5,20
s0102,26,20
s0104,11,20
s0105,21,20
s0106,28,20
s0107,28,20
s0108,27,20
s0109,27,20
s0110,9,20
s0111,24,20
s0112,9,20
s0114,23,20
s0115,27,20
s0117,26,20
s0119,29,20
s0120,28,20
s0122,2,20
s0123,24,20
s0124,29,20
s0128,15,20
s0129,16,20
s0130,6,20
s0131,24,20
s0132,16,20
s0133,27,20
s0135,26,20
s0136,5,20
s0137,26,20
s0138,25,20
s0139,27,20
s0140,5,20
s0141,29,20
s0143,26,20
s0145,29,20
s0146,17,20
s0147,27,20
s0149,5,20
s0150,27,20
s0151,24,20
s0152,6,20
s0153,27,20
s0154,8,20
s0156,21,20
s0157,27,20
s0158,27,20
s0160,21,20
s0161,27,20
s0162,17,20
s0163,28,20
s0165,21,20
s0166,29,20
s0167,9,20
s0168,27,20
s0169,8,20
s0170,9,20
s0171,28,20
s0172,8,20
s0174,27,20
s0175,14,20
s0178,27,20
s0179,23,20
s0181,8,20
s0182,27,20
s0183,27,20
s0184,18,20
s0185,9,20
s0188,19,20
s0189,29,20
s0190,27,20
s0191,27,20
s0192,27,20
s0193,27,20
s0194,27,20
s0196,29,20
s0197,24,20
s0199,18,20
s0201,27,20
s0204,27,20
s0206,27,20
s0208,5,20
s0209,24,20
s0210,29,20
s0211,23,20
s0212,28,20
s0213,26,20
s0215,18,20
s0216,14,20
s0217,3,20
s0218,27,20
s0219,11,20
s0220,24,20
s0221,17,20
s0222,24,20
s0223,21,20
s0224,29,20
s0226,9,20
s0227,27,20
s0228,26,20
s0229,4,20
s0230,17,20
s0231,22,20
s0232,27,20
s0233,22,20
s0234,5,20
s0235,27,20
s0236,27,20
s0237,19,20
s0238,27,20
s0239,29,20
s0240,25,20
s0241,15,20
s0242,24,20
s0243,27,20
s0244,27,20
s0245,23,20
s0246,17,20
s0247,23,20
s0248,27,20
s0249,20,20
s0250,27,20
s0252,27,20
s0253,28,20
s0254,9,20
s0255,28,20
s0256,27,20
s0257,27,20
s0258,25,20
s0259,5,20
s0260,27,20
s0261,21,20
s0262,22,20
s0263,8,20
s0264,26,20
s0265,13,20
s0266,24,20
s0270,18,20
s0271,26,20
s0275,27,20
s0277,10,20
s0278,5,20
s0279,10,20
s0281,9,20
s0282,5,20
s0283,23,20
s0285,21,20
s0286,24,20
s0287,28,20
s0288,6,20
s0289,10,20
s0290,23,20
s0291,26,20
s0292,8,20
s0293,28,20
s0294,15,20
s0295,6,20
s0296,6,20
s0298,24,20
s0299,19,20
s0300,27,20
s0301,11,20
s0303,24,20
s0304,25,20
s0305,23,20
s0306,25,20
s0307,27,20
s0308,29,20
s0310,17,20
s0311,27,20
s0312,5,20
s0313,20,20
s0314,27,20
s0315,28,20
s0316,9,20
s0319,27,20
s0320,27,20
s0321,27,20
s0322,19,20
s0324,27,20
s0325,27,20
s0326,10,20
s0327,29,20
s0328,27,20
s0329,27,20
s0330,23,20
s0331,22,20
s0332,29,20
s0333,9,20
s0334,29,20
s0335,13,20
s0336,14,20
s0338,18,20
s0339,27,20
s0341,27,20
s0342,27,20
s0343,26,20
s0344,29,20
s0345,28,20
s0346,9,20
s0347,13,20
s0349,25,20
s0350,28,20
s0353,22,20
s0354,22,20
s0355,27,20
s0356,13,20
s0357,24,20
s0358,29,20
s0359,6,20
s0360,6,20
s0361,13,20
s0362,29,20
s0363,19,20
s0364,20,20
s0365,24,20
s0366,26,20
s0367,22,20
s0368,13,20
s0369,29,20
s0370,29,20
s0371,28,20
s0372,27,20
s0373,17,20
s0374,23,20
s0375,29,20
s0376,21,20
s0377,16,20
s0378,19,20
s0379,7,20
s0380,20,20
s0381,9,20
s0382,12,20
s0383,29,20
s0385,9,20
s0386,18,20
s0389,15,20
s0390,27,20
s0391,15,20
s0392,27,20
s0393,24,20
s0394,27,20
s0395,8,20
s0396,5,20
s0398,23,20
s0399,12,20
s0400,10,20
s0401,26,20
s0402,28,20
s0403,29,20
s0405,18,20
s0406,29,20
s0407,23,20
s0408,29,20
s0411,10,20
s0412,26,20
s0413,20,20
s0414,18,20
s0416,27,20
s0418,3,20
s0419,7,20
s0420,22,20
s0421,15,20
s0422,26,20
s0423,29,20
s0424,16,20
s0425,21,20
s0426,9,20
s0428,27,20
s0429,29,20
s0430,25,20
s0431,26,20
s0433,23,20
s0435,9,20
s0436,29,20
s0437,19,20
s0438,22,20
s0439,25,20
s0440,29,20
s0441,27,20
s0442,10,20
s0443,3,20
s0444,18,20
s0445,24,20
s0446,28,20
s0447,29,20
s0450,25,20
s0452,24,20
s0453,5,20
s0454,9,20
s0455,23,20
s0456,29,20
s0457,16,20
s0458,29,20
s0459,22,20
s0461,29,20
s0462,29,20
s0463,24,20
s0465,16,20
s0466,7,20
s0467,29,20
s0468,27,20
s0469,25,20
s0470,24,20
s0471,26,20
s0472,29,20
s0473,27,20
s0475,10,20
s0476,29,20
s0477,29,20
s0478,9,20
s0480,27,20
s0481,15,20
s0482,23,20
s0483,29,20
s0484,29,20
s0485,25,20
s0486,24,20
s0487,20,20
s0488,25,20
s0490,24,20
s0491,10,20
s0492,7,20
s0493,5,20
s0494,28,20
s0495,29,20
s0497,9,20
s0498,25,20
s0499,29,20
s0500,27,20
s0501,8,20
s0502,29,20
s0503,10,20
s0504,10,20
s0505,28,20
s0506,8,20
s0507,29,20
s0508,24,20
s0509,28,20
s0510,23,20
s0511,28,20
s0513,27,20
s0515,22,20
s0516,29,20
s0517,22,20
s0518,10,20
s0519,29,20
s0520,16,20
s0521,7,20
s0522,24,20
s0523,26,20
s0525,10,20
s0526,10,20
s0527,10,20
s0528,15,20
s0529,27,20
s0530,16,20
s0531,25,20
s0532,14,20
s0535,10,20
s0536,29,20
s0537,10,20
s0541,27,20
s0542,27,20
s0543,29,20
s0544,22,20
s0545,27,20
s0546,29,20
s0548,27,20
s0549,29,20
s0550,29,20
s0551,29,20
s0552,9,20
s0553,29,20
s0555,25,20
s0556,28,20
s0557,21,20
s0559,6,20
s0560,26,20
s0561,29,20
s0563,6,20
s0564,9,20
s0565,24,20
s0566,27,20
s0568,3,20
s0571,29,20
s0572,5,20
s0573,14,20
s0574,29,20
s0576,9,20
s0577,26,20
s0578,29,20
s0579,27,20
s0580,22,20
s0581,17,20
s0582,20,20
s0583,28,20
s0584,20,20
s0585,29,20
s0586,27,20
s0587,28,20
s0589,29,20
s0590,25,20
s0591,29,20
s0592,29,20
s0593,29,20
s0594,15,20
s0595,13,20
s0597,10,20
s0598,23,20
s0600,27,20
s0601,7,20
s0602,29,20
s0603,27,20
s0604,21,20
s0605,14,20
s0606,25,20
s0607,28,20
s0608,15,20
s0610,10,20
s0611,9,20
s0612,29,20
s0613,29,20
s0614,8,20
s0615,25,20
s0616,29,20
s0617,29,20
s0618,25,20
s0619,29,20
s0620,28,20
s0621,28,20
s0622,9,20
s0623,29,20
s0624,29,20
s0625,29,20
s0626,29,20
s0627,10,20
s0628,29,20
s0629,27,20
s0632,23,20
s0633,3,20
s0635,29,20
s0636,28,20
s0637,28,20
s0638,5,20
s0639,29,20
s0640,7,20
s0641,26,20
s0642,5,20
s0643,10,20
s0644,29,20
s0645,17,20
s0646,9,20
s0647,24,20
s0648,29,20
s0649,29,20
s0650,29,20
s0651,26,20
s0652,11,20
s0653,11,20
s0654,20,20
s0655,13,20
s0656,29,20
s0657,29,20
s0658,21,20
s0659,20,20
s0660,9,20
s0661,29,20
s0662,29,20
s0663,29,20
s0664,29,20
s0665,26,20
s0666,2,20
s0667,29,20
s0668,25,20
s0669,29,20
s0670,28,20
s0671,14,20
s0672,21,20
s0673,9,20
s0674,25,20
s0675,25,20
s0676,17,20
s0677,25,20
s0679,22,20
s0680,28,20
s0681,17,20
s0682,27,20
s0683,27,20
s0684,12,20
s0685,24,20
s0686,29,20
s0687,28,20
s0688,23,20
s0690,29,20
s0691,16,20
s0692,29,20
s0693,16,20
s0694,27,20
s0695,18,20
s0696,23,20
s0697,15,20
s0698,23,20
s0699,27,20
s0700,27,20
s0702,29,20
s0703,29,20
s0704,26,20
s0705,28,20
s0707,27,20
s0708,29,20
s0709,28,20
s0710,16,20
s0711,29,20
s0712,13,20
s0714,21,20
s0715,9,20
s0716,25,20
s0717,21,20
s0718,24,20
s0719,25,20
s0720,29,20
s0721,27,20
s0723,29,20
s0724,11,20
s0726,29,20
s0727,29,20
s0728,27,20
s0729,25,20
s0730,3,20
s0731,29,20
s0732,26,20
s0733,29,20
s0734,9,20
s0735,23,20
s0736,14,20
s0737,28,20
s0738,14,20
s0739,29,20
s0740,26,20
s0741,7,20
s0743,24,20
s0746,27,20
s0747,25,20
s0749,27,20
s0750,23,20
s0751,29,20
s0752,25,20
s0753,22,20
s0754,29,20
s0756,9,20
s0759,21,20
s0760,27,20
s0762,28,20
s0763,29,20
s0764,29,20
s0765,29,20
s0767,15,20
s0768,27,20
s0769,10,20
s0770,23,20
s0771,24,20
s0772,9,20
s0773,18,20
s0774,14,20
s0775,21,20
s0776,10,20
s0777,29,20
s0778,29,20
s0780,20,20
s0781,14,20
s0782,13,20
s0783,2,20
s0784,25,20
s0785,25,20
s0787,16,20
s0788,28,20
s0789,25,20
s0790,29,20
s0791,17,20
s0793,19,20
s0794,29,20
s0795,23,20
s0796,29,20
s0797,29,20
s0798,23,20
s0800,10,20
s0801,29,20
s0802,16,20
s0804,29,20
s0805,21,20
s0806,29,20
s0807,28,20
s0808,21,20
s0809,9,20
s0810,22,20
s0811,24,20
s0812,29,20
s0813,15,20
s0814,10,20
s0815,8,20
s0816,24,20
s0818,8,20
s0819,9,20
s0820,9,20
s0821,25,20
s0822,25,20
s0824,17,20
s0825,15,20
s0826,15,20
s0829,19,20
s0830,29,20
s0831,23,20
s0832,18,20
s0833,21,20
s0834,21,20
s0835,29,20
s0836,29,20
s0838,11,20
s0839,13,20
s0840,15,20
s0842,29,20
s0843,1,20
s0844,21,20
s0845,26,20
s0846,11,20
s0847,22,20
s0848,13,20
s0849,10,20
s0850,3,20
s0851,6,20
s0852,12,20
s0853,10,20
s0857,9,20
s0858,14,20
s0859,29,20
s0860,29,20
s0861,6,20
s0862,10,20
s0863,29,20
s0864,29,20
s0865,10,20
s0866,24,20
s0867,7,20
s0868,8,20
s0869,29,20
s0870,3,20
s0871,21,20
s0873,9,20
s0874,9,20
s0875,5,20
s0876,13,20
s0877,14,20
s0878,29,20
s0879,13,20
s0880,29,20
s0881,14,20
s0883,10,20
s0884,29,20
s0885,28,20
s0889,24,20
s0890,23,20
s0891,18,20
s0892,27,20
s0894,29,20
s0895,24,20
s0896,29,20
s0897,24,20
s0898,24,20
s0899,28,20
s0901,14,20
s0903,29,20
s0904,29,20
s0907,13,20
s0908,22,20
s0909,8,20
s0910,21,20
s0911,16,20
s0912,29,20
s0913,29,20
s0914,23,20
s0915,29,20
s0916,29,20
s0918,29,20
s0919,29,20
s0921,3,20
s0923,29,20
s0924,29,20
s0925,8,20
s0927,28,20
s0928,29,20
s0930,25,20
s0931,28,20
s0933,29,20
