tissue,aorta,autochthon_left,autochthon_right,colon,duodenum,esophagus,gallbladder,heart,inferior_vena_cava,kidney_left,kidney_right,liver,lung_lower_lobe_left,lung_lower_lobe_right,lung_upper_lobe_left,lung_upper_lobe_right,pancreas,portal_vein_and_splenic_vein,small_bowel,spleen,stomach,superior_vena_cava,urinary_bladder,vertebrae_L1,vertebrae_L2,vertebrae_L3,vertebrae_L4,vertebrae_L5,vertebrae_T12
aorta,1101,1067,1071,867,754,994,623,915,969,791,768,934,995,980,988,824,793,813,772,881,899,762,535,787,705,632,622,600,864
autochthon_left,1067,1124,1121,878,752,996,622,882,938,789,766,901,963,946,987,822,791,810,790,852,871,729,552,784,705,631,629,611,838
autochthon_right,1071,1121,1126,878,752,1000,622,885,942,789,766,905,967,950,991,826,791,810,788,856,875,733,550,784,705,631,629,611,841
colon,867,878,878,903,741,760,613,761,860,763,749,823,780,782,756,592,771,775,800,785,804,552,568,749,690,629,630,612,782
duodenum,754,752,752,741,754,678,607,679,752,720,717,739,696,698,673,513,724,710,719,705,721,475,509,706,677,617,593,570,709
esophagus,994,996,1000,760,678,1031,593,904,871,730,704,871,972,956,1016,855,744,778,666,845,855,762,452,745,653,558,524,503,829
gallbladder,623,622,622,613,607,593,623,593,623,607,603,623,602,605,589,454,616,611,587,614,619,426,418,603,570,504,480,458,610
heart,915,882,885,761,679,904,593,916,871,730,704,871,904,904,897,744,742,774,668,842,854,701,453,740,652,558,525,504,825
inferior_vena_cava,969,938,942,860,752,871,623,871,972,790,766,930,889,892,866,701,792,812,766,880,898,657,531,786,704,631,617,594,863
kidney_left,791,789,789,763,720,730,607,730,790,792,739,785,748,750,726,566,760,755,710,760,771,526,489,752,691,605,574,551,761
kidney_right,768,766,766,749,717,704,603,704,766,739,768,762,722,723,701,540,737,730,713,734,744,499,496,724,678,612,579,556,734
liver,934,901,905,823,739,871,623,871,930,785,762,934,889,891,866,701,792,813,728,881,898,657,498,786,701,614,581,558,864
lung_lower_lobe_left,995,963,967,780,696,972,602,904,889,748,722,889,998,972,970,804,762,794,686,863,872,755,468,763,670,576,541,520,846
lung_lower_lobe_right,980,946,950,782,698,956,605,904,892,750,723,891,972,981,952,787,764,797,687,865,874,742,468,765,672,576,541,520,849
lung_upper_lobe_left,988,987,991,756,673,1016,589,897,866,726,701,866,970,952,1021,854,739,773,663,842,850,761,449,740,647,552,518,497,824
lung_upper_lobe_right,824,822,826,592,513,855,454,744,701,566,540,701,804,787,854,855,579,611,504,677,686,760,319,578,493,401,372,355,660
pancreas,793,791,791,771,724,744,616,742,792,760,737,792,762,764,739,579,793,773,713,771,785,537,486,756,695,601,567,545,776
portal_vein_and_splenic_vein,813,810,810,775,710,778,611,774,812,755,730,813,794,797,773,611,773,813,698,801,812,568,475,764,681,586,552,531,801
small_bowel,772,790,788,800,719,666,587,668,766,710,713,728,686,687,663,504,713,698,803,694,709,466,562,694,668,624,629,611,698
spleen,881,852,856,785,705,845,614,842,880,760,734,881,863,865,842,677,771,801,694,881,873,634,472,769,677,583,549,527,845
stomach,899,871,875,804,721,855,619,854,898,771,744,898,872,874,850,686,785,812,709,873,899,642,484,780,692,596,562,541,855
superior_vena_cava,762,729,733,552,475,762,426,701,657,526,499,657,755,742,761,760,537,568,466,634,642,762,293,538,455,368,338,324,616
urinary_bladder,535,552,550,568,509,452,418,453,531,489,496,498,468,468,449,319,486,475,562,472,484,293,568,478,488,509,537,541,474
vertebrae_L1,787,784,784,749,706,745,603,740,786,752,724,786,763,765,740,578,756,764,694,769,780,538,478,787,691,595,560,537,779
vertebrae_L2,705,705,705,690,677,653,570,652,704,691,678,701,670,672,647,493,695,681,668,677,692,455,488,691,705,608,572,550,684
vertebrae_L3,632,631,631,629,617,558,504,558,631,605,612,614,576,576,552,401,601,586,624,583,596,368,509,595,608,632,596,574,587
vertebrae_L4,622,629,629,630,593,524,480,525,617,574,579,581,541,541,518,372,567,552,629,549,562,338,537,560,572,596,630,607,553
vertebrae_L5,600,611,611,612,570,503,458,504,594,551,556,558,520,520,497,355,545,531,611,527,541,324,541,537,550,574,607,612,531
vertebrae_T12,864,838,841,782,709,829,610,825,863,761,734,864,846,849,824,660,776,801,698,845,855,616,474,779,684,587,553,531,864
