tissue,n_subjects_present,pct_subjects
aorta,1101,93.7
autochthon_left,1124,95.66
autochthon_right,1126,95.83
colon,903,76.85
duodenum,754,64.17
esophagus,1031,87.74
gallbladder,623,53.02
heart,916,77.96
inferior_vena_cava,972,82.72
kidney_left,792,67.4
kidney_right,768,65.36
liver,934,79.49
lung_lower_lobe_left,998,84.94
lung_lower_lobe_right,981,83.49
lung_upper_lobe_left,1021,86.89
lung_upper_lobe_right,855,72.77
pancreas,793,67.49
portal_vein_and_splenic_vein,813,69.19
small_bowel,803,68.34
spleen,881,74.98
stomach,899,76.51
superior_vena_cava,762,64.85
urinary_bladder,568,48.34
vertebrae_L1,787,66.98
vertebrae_L2,705,60.0
vertebrae_L3,632,53.79
vertebrae_L4,630,53.62
vertebrae_L5,612,52.09
vertebrae_T12,864,73.53
